Job Outlook for JB,Est.,Pipeline,Estimating Status,Bid Due Date,Project Name,Owner,Architect,Pipeline Probability,Approx. Start Date,# of Months,Approx. Cost,Approx. Finish,Project City,Project State,Market Type,Notes/Description,BD/PM/AM,ITB Date,Lead Estimator,Estimator,Est. Asst.,PX/PM,Estimate Type,RFI Due Date,Schedule,Factored $,Factored $ per month,Duration,2025 % Complete,Days in 2025,$ in 2025,Days in 2026,$ in 2026,Days in 2027,$ in 2027,Notes for JB Outlook
,,,7 Archive Win,02/20/23,I-17 and Carefree Sprout's  - Demo,Diversified Partners,,5%,03/06/23,5,"$379,063",08/06/23,Phoenix,Arizona,Retail TI,Convert Bed Bath & Beyond to Sprouts Landlord Work,Adam,,CH,BM,Lisa,NR,Neg.,,Duration,"$18,953","$3,791",154,0%,0,$0,154,"18,953",0,$0,
,,,7 Archive Win,07/28/23,I-17 and Carefree Sprouts - Shell,Diversified Partners,,15%,09/04/23,5,"$1,162,493",02/04/24,Phoenix,Arizona,Retail TI,Shell Revisions,Melinda,,CH,CH,N/A,,Neg.,N/A,Full,"$174,374","$34,875",154,0%,0,$0,154,"174,374",0,$0,
,,,7 Archive Win,09/13/24,KCC NWC Sewer Work,Macerich,,10%,10/15/24,5,"$945,244",03/15/25,Phoenix,Arizona,Site,"Sewer, Utility Work",Brian,,PS,PS,AL,,Con.,N/A,Full,"$94,524","$18,905",152,48%,73,"$45,397",79,"49,128",0,$0,
,,,7 Archive Win,10/24/23,LIFE School Expansion,L.I.F.E.,,100%,03/04/24,6,"$2,100,000",09/04/24,Gilbert,Arizona,Site,"Site Work, Infrastructure for Added Modular Units",Brian,,CH,CH,AL,,Neg.,N/A,Duration,"$2,100,000","$350,000",185,0%,0,$0,185,"2,100,000",0,$0,
,,,7 Archive Win,01/12/24,Love's Gila Bend,Love's Travel Stops,,100%,04/01/24,6,"$2,600,300",10/01/24,Gila Bend,Arizona,Travel Center TI,Major Remodel,Melinda,07/17/23,KC,KC,AT,,HB-3,N/A,Full,"$2,600,300","$433,383",184,0%,0,$0,184,"2,600,300",0,$0,
,,,7 Archive Win,09/21/23,Love's Lost Hills Arby's Remodel,Love's Travel Stops,,100%,01/08/24,2,"$535,098",03/08/24,Lost Hills,California,Travel Center TI,Love's Arby's Remodel,Melinda,,JF,BG,AT,Matt W.,HB-3,NA,Full,"$535,098","$267,549",61,0%,0,$0,61,"535,098",0,$0,
,,,7 Archive Win,,"Love's Travel Stop and Country Stores, Inc",Love's Travel Stop Salinas - Truck Stop,,100%,10/01/22,8,"$19,357,931",06/01/23,Salinas,California,,,,,,,,,,,,"$19,357,931","$2,419,741",244,0%,0,$0,244,"19,357,931",0,$0,
,,,7 Archive Win,,"Love's Travel Stop and Country Stores, Inc",Love's Tire Shop - Coachella,,100%,10/01/22,1,"$188,256",11/01/22,,,,,,,,,,,,,,"$188,256","$188,256",32,0%,0,$0,32,"188,256",0,$0,
,,,7 Archive Win,,"Love's Travel Stop and Country Stores, Inc",Love's Travel Stop - Lost Hills #230,,100%,10/01/22,3,"$625,105",01/01/23,,,,,,,,,,,,,,"$625,105","$208,368",93,0%,0,$0,93,"625,105",0,$0,
,,,7 Archive Win,,"Love's Travel Stop and Country Stores, Inc",Love's Travel Stop - Patterson (Offsites),,100%,10/01/22,7,"$1,389,765",05/01/23,,,,,,,,,,,,,,"$1,389,765","$198,538",213,0%,0,$0,213,"1,389,765",0,$0,
,,,7 Archive Win,,"Love's Travel Stop and Country Stores, Inc",Love’s Coachella C-Store,,100%,10/01/22,1,"$820,603",11/01/22,,,,,,,,,,,,,,"$820,603","$820,603",32,0%,0,$0,32,"820,603",0,$0,
,,,7 Archive Win,12/12/22,"Loves Travel Stop - Troutdale, OR",Loves Travel Stop,,100%,02/20/23,7,"$4,442,226",09/20/23,Troutdale,Oregon,Travel Center,Raze and Rebuild,Melinda,10/31/22,BG/JH,JH,SH,Mike,HB-3,,,"$4,442,226","$634,604",213,0%,0,$0,213,"4,442,226",0,$0,
,,,7 Archive Win,,Loves Travel Stops,Love's Remodel - Corning,,100%,10/01/22,1,"$791,803",11/01/22,,,,,,,,,,,,,,"$791,803","$791,803",32,0%,0,$0,32,"791,803",0,$0,
,,,7 Archive Win,,Macerich,SFS North Lot Site Improvement,,100%,10/01/22,13,"$2,662,839",11/01/23,,,,,,,,,,,,,,"$2,662,839","$204,834",397,0%,0,$0,397,"2,662,839",0,$0,
,,,7 Archive Win,04/28/21,Madera Community Center,Community Southwest,,20%,12/31/21,1,$0,01/31/22,Queen Creek,Arizona,Clubhouse,Housing Community Amenity Bldg and Pool,Brian,03/31/21,PS,,KC,NR,HB-2,NA,Full,$0,$0,32,0%,0,$0,32,0,0,$0,
,,,7 Archive Win,,Main Spring Capital Group,Pima Center Commons,,100%,10/01/22,16,"$9,222,760",02/01/24,,,,,,,,,,,,,,"$9,222,760","$576,423",489,0%,0,$0,489,"9,222,760",0,$0,
,,,7 Archive Win,06/14/23,Masyno - 2nd Street & Scottsdale,Anthony Bibars,,3%,08/07/23,8,"$2,537,732",04/07/24,Phoenix,Arizona,"Office
Retail","6,500 SF Mixed Use Ground Up",Adam,,JH,JH,AT,NR,Neg.,N/A,Duration,"$76,132","$9,516",245,0%,0,$0,245,"76,132",0,$0,
,,,7 Archive Win,,Mattamy Homes,Empire Pointe Clubhouse,,100%,10/01/22,1,"$1,033,278",11/01/22,,,,,,,,,,,,,,"$1,033,278","$1,033,278",32,0%,0,$0,32,"1,033,278",0,$0,
,,,7 Archive Win,09/20/22,MAYDALL - ECEC,SPR-MIC,,100%,10/03/22,12,"$12,000,000",10/03/23,Scottsdale,Arizona,"Education
Site","New School Expansion, Parking Lot, Renovation Work",David,,JF,KC,SH,RS,Neg.,,,"$12,000,000","$1,000,000",366,0%,0,$0,366,"12,000,000",0,$0,
,,,7 Archive Win,08/11/22,MAYDALL - Two Waters Podcast TI,SRP-MIC,,100%,10/15/22,6,"$851,328",04/15/23,Scottsdale,Arizona,Office TI,TI in existing building,David,,CH,BM,MB,,HB-3,,Duration,"$851,328","$141,888",183,0%,0,$0,183,"851,328",0,$0,
,,,7 Archive Win,05/16/23,MAYDALL Fire Station Remodel,SRP-MIC,,25%,08/01/22,4,"$889,335",12/01/22,Mesa,Arizona,Site,Fire Station Remodel,David,,JF/BG,BG,MB/AL,RS,Con.,N/A,Duration,"$222,334","$55,583",123,0%,0,$0,123,"222,334",0,$0,
,,,7 Archive Win,05/25/23,MAYDALL Playground & Shade Canopies,SRP-MIC,,5%,07/03/23,6,"$782,220",01/03/24,Scottsdale,Arizona,Site,"Playground, Site & Canopies",David,,JF,BG,MB,,RFP,5/9 at 11am,Duration,"$39,111","$6,519",185,0%,0,$0,185,"39,111",0,$0,
,,,7 Archive Win,03/30/22,MAYDALL SRP-MIC Road Improvements,SRP-MIC,,25%,05/01/22,4,"$2,000,000",09/01/22,Scottsdale,Arizona,Site,Site Road Improvements,David,,RS,-,SH,MC,Con.,,Duration,"$500,000","$125,000",124,0%,0,$0,124,"500,000",0,$0,
,,,7 Archive Win,01/09/23,MAYDALL Talking Stick Clubhouse Phase 2,SPR-MIC,,50%,01/30/23,12,"$11,500,000",01/30/24,Scottsdale,Arizona,,Clubhouse Remodel,,,RS,,SH,,Neg.,,,"$5,750,000","$479,167",366,0%,0,$0,366,"5,750,000",0,$0,
,,,7 Archive Win,06/23/22,MAYDALL Talking Stick Golf Club Expansion,SRP-MIC,,100%,09/15/22,10,"$4,000,000",07/15/23,Phoenix,Arizona,Clubhouse,Clubhouse Remodel and Expansion,David,,RS,,SH,NR,Neg.,NA,Duration,"$4,000,000","$400,000",304,0%,0,$0,304,"4,000,000",0,$0,
,,,7 Archive Win,,"Moderne Apartments, LLC",Moderne Arrowhead Glendale,,100%,10/01/22,17,"$40,977,000",03/01/24,,,,,,,,,,,,,,"$40,977,000","$2,410,412",518,0%,0,$0,518,"40,977,000",0,$0,
,,,7 Archive Win,,"Moderne Apartments, LLC",The Governor Apartments,,100%,10/01/22,22,"$46,253,052",08/01/24,,,,,,,,,,,,,,"$46,253,052","$2,102,411",671,0%,0,$0,671,"46,253,052",0,$0,
,,,7 Archive Win,,Monty Germaine,Germaine RV & Marine Center,,100%,10/01/22,14,"$619,429",12/01/23,,,,,,,,,,,,,,"$619,429","$44,245",427,0%,0,$0,427,"619,429",0,$0,
,,,7 Archive Win,07/23/21,Mountain Vista Marketplace - Signal Butte & Hampton REV,ThompsonThrift,,100%,12/31/21,1,$0,01/31/22,Mesa,Arizona,Retail,"New Sitework, MTB and Black Rock Coffee",Melinda,07/09/21,CH,,LH,,Con.,NA,NA,$0,$0,32,0%,0,$0,32,0,0,$0,
,,,7 Archive Win,05/14/25,Mountainside Fitness - #24 - San Tan - Update,Mountainside Fitness,,35%,05/19/25,10,"$9,189,170",03/19/26,Queen Creek,Arizona,Sports/Fitness,"Early Civil, Site, Landscaping",Adam,,CH,CH,AL,,Con.,,,"$3,216,210","$321,621",305,74%,226,"$2,383,159",79,"833,051",0,$0,
,,,7 Archive Win,12/16/22,Mountainside Fitness Avondale,Mountainside Fitness,,10%,03/01/23,9,"$9,332,433",12/01/23,Avondale,Arizona,Sports/Fitness,"Full site, bldg., TI",Adam,08/20/21,PS,KC,MB,NR,HB-2,,Done,"$933,243","$103,694",276,0%,0,$0,276,"933,243",0,$0,
,,,7 Archive Win,12/04/23,Mountainside Fitness Scottsdale,Mountainside Fitness,,100%,12/18/23,6,"$4,650,000",06/18/24,Scottsdale,Arizona,Sports/Fitness,TI in the old Albertson's,Adam,,CH,CH,AT,George,HB-3,N/A,Duration,"$4,650,000","$775,000",184,0%,0,$0,184,"4,650,000",0,$0,
,,,7 Archive Win,,My Development,Sprouts BTS - North Las Vegas,,100%,10/01/22,3,"$4,184,066",01/01/23,,,,,,,,,,,,,,"$4,184,066","$1,394,689",93,0%,0,$0,93,"4,184,066",0,$0,
,,,7 Archive Win,03/18/24,Novus - Open Space,Catellus,,100%,04/01/24,6,"$3,591,226",10/01/24,Tempe,Arizona,Site,"Horizontal, Landscape, Sidewalk, Fountains etc.",Melinda,,JF,JF,AL,Thomas,Neg.,N/A,Duration,"$3,591,226","$598,538",184,0%,0,$0,184,"3,591,226",0,$0,
,,,7 Archive Win,05/12/23,Novus - Restaurants - Parcel 3A,Catellus / Steven Bell,,3%,10/09/23,8,"$3,773,546",06/09/24,Tempe,Arizona,Restaurant,"Blanco, Flower Child and North Italia Shells",Adam,,JF,BM,AL,NR,Con.,N/A,Duration,"$113,206","$14,151",245,0%,0,$0,245,"113,206",0,$0,
,,,7 Archive Win,11/07/23,Novus - Shade Canopy,Catellus,,100%,02/05/24,4,"$2,687,480",06/05/24,Tempe,Arizona,Site,Shade Canopy (USA Shade/Kovach/Concrete) Only,,,,,,George,,,,"$2,687,480","$671,870",122,0%,0,$0,122,"2,687,480",0,$0,
,,,7 Archive Win,03/05/25,Oak Creek Travel Center,Oak & Stone Development,,100%,06/01/25,13,"$22,406,404",07/01/26,Independnce,California,Fuel Station,"19 Fuel Pumps, C-Store, Parking Etc,",Hayley,,AT,AT,MB,,HB-3,10/13/23,Full,"$22,406,404","$1,723,570",396,54%,213,"$12,051,929",183,"10,354,475",0,$0,
,,,7 Archive Win,Pending,Papago Marketplace - Sprouts,Pivot Development,Nelsen Partners,100%,09/15/25,12,"$17,866,338",09/15/26,Scottsdale,Arizona,"Grocery TI
Parking Garage
Retail",Sprouts BTS & Parking Garage,Melinda,,CH,CH,Lisa,,Neg.,TBD,Full,"$17,866,338","$1,488,862",366,29%,107,"$5,223,219",259,"12,643,119",0,$0,
,,,7 Archive Win,02/03/25,Park 10 Phase 4A,Parkland Development,Butler Design Group,100%,03/01/25,11,"$5,735,899",02/01/26,Avondale,Arizona,"Office
Parking Garage
Retail
Site","Shops D and Site, Decel Lane",Melinda,,PS,PS,MB,,HB-2,N/A,Duration,"$5,735,899","$521,445",338,90%,305,"$5,175,885",33,"560,014",0,$0,
,,,7 Archive Win,06/24/25,Park 10 Phase 4B - Civil Update,Parkland Development,Butler Design Group,50%,07/01/25,10,"$2,187,355",05/01/26,Avondale,Arizona,Office,"Civil, Landscape and Dry Utility Update",Melinda,,PS,KS,MB,,Con.,N/A,,"$1,093,678","$109,368",305,60%,183,"$656,207",122,"437,471",0,$0,
,,,7 Archive Win,03/25/25,Peoria - Caldwell BBQ - Update,City of Peoria,,100%,04/21/25,8,"$5,904,135",12/21/25,Peoria,Arizona,"Restaurant
Site",City of Peoria BBQ Restaurant and Site,Melinda/Brian,,CH,CH,AL,,Neg.,N/A,Duration,"$5,904,135","$738,017",245,100%,245,"$5,904,135",0,0,0,$0,
,,,7 Archive Win,06/15/21,"Pima Center - Building A, B & C",Main Spring Capital,,50%,12/31/21,1,$0,01/31/22,Scottsdale,Arizona,Industrial,3 Warehouse Industrial Shells (50K SF ea) plus sitework,Adam,05/11/21,CH,,KC/MB,MC,HB,NA,Full,$0,$0,32,0%,0,$0,32,0,0,$0,
,,,7 Archive Win,10/14/21,Pioneer Title - 1550 E. Missouri Ave.,Pioneer Title-Keith Newlon/John Asher,,90%,12/01/21,6,"$4,102,184",06/01/22,Phoenix,Arizona,Office,Renovate Existing Building and New TI,Adam,N/A,JF,,N/A,NR,RFP,NA,N/A,"$3,691,966","$615,328",183,0%,0,$0,183,"3,691,966",0,$0,
,,,7 Archive Win,11/10/23,Postino's Shells and Site,Common Bond Development,,100%,12/04/23,8,"$4,510,308",08/04/24,Peoria,Arizona,"Restaurant
Site",Restaurants and Hardscape,Melinda,,CH,BM,AT,Rav/Greg,Con.,N/A,Duration,"$4,510,308","$563,789",245,0%,0,$0,245,"4,510,308",0,$0,
,,,7 Archive Win,01/17/24,PV - Garage,RED Development,,100%,04/01/24,5,"$2,250,000",09/01/24,Paradise Valley,Arizona,Parking Garage,Garage Update/Entry/Elevators,Melinda,,JF,BM,MB,Matt W.,HB-3,N/A,,"$2,250,000","$450,000",154,0%,0,$0,154,"2,250,000",0,$0,
,,,7 Archive Win,10/17/23,PV Blanco - 100% CD Update,Fox Restaurant Concepts,,100%,10/02/23,8,"$5,826,254",06/02/24,Paradise Valley,Arizona,"Restaurant
Restaurant TI",Blanco - Full shell/building and TI,Brian,,JF,JF,AT,NR,Con.,N/A,Duration,"$5,826,254","$728,282",245,0%,0,$0,245,"5,826,254",0,$0,
,,,7 Archive Win,08/08/23,PV Flower Child,Fox Restaurant Concepts,,50%,11/01/23,8,"$2,962,666",07/01/24,Paradise Valley,Arizona,"Restaurant
Restaurant TI",Flower Child - Full Shell/Building and TI,Brian,,JF,BG,AT,NR,Con.,N/A,Duration,"$1,481,333","$185,167",244,0%,0,$0,244,"1,481,333",0,$0,
,,,7 Archive Win,09/18/24,PV Transit Center,RED Development,,25%,11/18/24,4,"$1,249,719",03/18/25,Phoenix,Arizona,"Hospitality
Site","New Public Transit Station Structure, Walls, Site work etc.",Brian/Melinda,,JF,JF,AL,Chevy,Con.,N/A,Full,"$312,430","$78,107",121,63%,76,"$196,237",45,"116,193",0,$0,
,,,7 Archive Win,,RED Development,Tempe Cornerstone Retail Remodel,,100%,10/01/22,1,"$450,254",11/01/22,,,,,,,,,,,,,,"$450,254","$450,254",32,0%,0,$0,32,"450,254",0,$0,
,,,7 Archive Win,06/20/25,Santan Village - Harkins Court,Macerich,,100%,07/07/25,6,"$1,224,941",01/07/26,Gilbert,Arizona,Site,Renovation of Hardscape in front of Harkins,Melinda,,KS,KS,AL,,HB-3,,,"$1,224,941","$204,157",185,96%,177,"$1,171,971",8,"52,970",0,$0,
,,,7 Archive Win,01/31/25,SFS L2 Pedestrian Bridge Relocation,Macerich,,100%,07/01/25,5,"$995,369",12/01/25,Scottsdale,Arizona,Retail TI,Relocate Pedestrian Bridge at 2nd Level by Nordstrom,Brian,,AT,AT,AL,,HB-3,,,"$995,369","$199,074",154,100%,154,"$995,369",0,0,0,$0,
,,,7 Archive Win,12/10/21,SFS North Lot Site Improvement,Macerich,,35%,02/01/22,8,"$2,629,227",10/01/22,Scottsdale,Arizona,Site,Onsite/Offsite Work for Caesar's Hotel,Brian,,PS,KC,SH,,HB-3,,Full,"$920,229","$115,029",243,0%,0,$0,243,"920,229",0,$0,
,,,7 Archive Win,07/17/24,Signal Butte & SR 24,Diversified Partners,,35%,11/01/24,7,"$8,180,518",06/01/25,Mesa,Arizona,Site,"Road, Utility, Landscaping, Electrical Infrastructure",Adam,,JH,JH,MB,Tom L,HB-3,05/29/24,Full,"$2,863,181","$409,026",213,71%,151,"$2,029,767",62,"833,414",0,$0,
,,,7 Archive Win,,Signal Butte Hampton Mesa,EOS Sitework - Phase I,,100%,10/01/22,8,"$1,947,545",06/01/23,,,,,,,,,,,,,,"$1,947,545","$243,443",244,0%,0,$0,244,"1,947,545",0,$0,
,,,7 Archive Win,02/13/25,Signature at SanTan Village - CIVIL,Kensington,,100%,03/31/25,12,"$11,926,502",03/31/26,Gilbert,Arizona,"Retail
Site","Site, Infrastructure, Retail Pads, Grocery,",Adam,,AT,AT,AT,,HB-3,Pending,Duration,"$11,926,502","$993,875",366,75%,275,"$8,961,170",91,"2,965,332",0,$0,
,,,7 Archive Win,02/13/25,Signature at SanTan Village - Fidelity,Kensington,,100%,03/31/25,12,"$1,275,750",03/31/26,Gilbert,Arizona,Retail,Shell Building C,Adam,,AT,AT,AL,,HB-3,,,"$1,275,750","$106,313",366,75%,275,"$958,555",91,"317,195",0,$0,
,,,7 Archive Win,02/06/25,Signature at SanTan Village - Whole Foods,Kensington,,100%,03/31/25,12,"$6,555,555",03/31/26,Gilbert,Arizona,Grocery,Ground up Whole Foods - Empty Box,Adam,,KC,KC,AL,,HB-6,,,"$6,555,555","$546,296",366,75%,275,"$4,925,622",91,"1,629,933",0,$0,
,,,7 Archive Win,03/20/25,Skyline Village,AREAD,,100%,07/07/25,9,"$6,143,636",04/07/26,San Tan,Arizona,Clubhouse,"New Clubhouse 12,275SF - no site",Melinda,,CH,CH,MB,,HB-3,,,"$6,143,636","$682,626",275,64%,177,"$3,954,268",98,"2,189,368",0,$0,
,,,7 Archive Win,06/26/24,SMBMI - CC Building Envelope,San Manuel Band of Mission Indians,,100%,01/06/25,13,"$8,739,762",02/06/26,Highland,California,Native,Comprehensive Repair and Renovation to Community Center envelope,Melinda,,KC,KC,AL,,RFP,03/29/24,,"$8,739,762","$672,289",397,90%,359,"$7,903,210",38,"836,552",0,$0,
,,,7 Archive Win,05/23/25,SMBMI - Community Center Chiller Replacement,San Manuel Band of Mission Indians,,5%,11/01/25,10,"$1,269,243",09/01/26,Highland,California,,Remove/Replace Chiller at Community Center,Melinda,,AT,AT,MB,,HB,,,"$63,462","$6,346",305,20%,60,"$12,484",245,"50,978",0,$0,
,,,7 Archive Win,05/06/25,SMBMI YRC - L1 Carpet Refresh - Update,San Manuel Band of Mission Indians,,100%,08/15/25,4,"$637,357",12/15/25,Highland,California,Native,Remove/Replace Casino Carpet,Melinda,,TS,TS,MB,,HB,,,"$637,357","$159,339",123,100%,123,"$637,357",0,0,0,$0,
,,,7 Archive Win,12/20/24,Society Swan - Update,FRC,,100%,01/27/25,7,"$4,073,725",08/27/25,Phoenix,Arizona,Restaurant TI,New High End Concept at SFS,Brian,,KC,KC,MB,,Con.,N/A,,"$4,073,725","$581,961",213,100%,213,"$4,073,725",0,0,0,$0,
,,,7 Archive Win,04/11/22,Spirit Mountain Casino,Fort Mojave Indian Tribe,,100%,06/01/22,5,"$1,962,800",11/01/22,Fort Mojave,Arizona,Native,"3,200 SF D/B Casino Expansion",Melinda/Matt,Pending,JF,KC,SH,NR,Neg.,NA,Full,"$1,962,800","$392,560",154,0%,0,$0,154,"1,962,800",0,$0,
,,,7 Archive Win,09/03/24,Sprouts - Yuma - Phase 1,Sprouts,,100%,10/07/24,1,"$924,080",11/07/24,Yuma,Arizona,Retail TI,Ground up & Site work,Melinda,,CH,CH,MB,,Neg.,Pending,Duration,"$924,080","$924,080",32,0%,0,$0,32,"924,080",0,$0,
,,,7 Archive Win,09/24/24,Sprouts - Yuma - Phase 2,Sprouts,,100%,10/28/24,10,"$10,859,070",08/28/25,Yuma,Arizona,Retail TI,Ground up & Site work,Melinda,,CH,CH,MB,,Neg.,Pending,Duration,"$10,859,070","$1,085,907",305,78%,239,"$8,509,238",66,"2,349,832",0,$0,
,,,7 Archive Win,10/23/23,Sprouts TI Tramonto,Sprouts,,100%,12/11/23,6,"$3,099,542",06/11/24,Phoenix,Arizona,Grocery TI,Sprouts TI,Melinda,04/03/23,CH,CH,MB,Tony,Neg.,N/A,Duration,"$3,099,542","$516,590",184,0%,0,$0,184,"3,099,542",0,$0,
,,,7 Archive Win,07/29/25,SR 24 - SRP/SW Gas,Diversified Partners,,100%,10/01/25,4,"$1,902,668",02/01/26,Surprise,Arizona,Site,SRP and SW Gas Infrastructure,Adam,,JH,JH,N/A,,Neg.,,,"$1,902,668","$475,667",124,73%,91,"$1,396,313",33,"506,355",0,$0,
,,,7 Archive Win,08/01/25,SR 24 - Walmart Pad,Diversified Partners,,100%,09/01/25,2,"$1,425,739",11/01/25,Surprise,Arizona,Site,"Pad Development, Utilities, Bldg",Adam,,JH,JH,N/A,,Neg.,,,"$1,425,739","$712,870",62,100%,62,"$1,425,739",0,0,0,$0,
,,,7 Archive Win,10/19/23,Stellar Airpark Storage,Wentworth,,100%,01/08/24,15,"$18,529,847",04/08/25,Chandler,Arizona,Storage,Climate Controlled Storage and RV Parking,Melinda,,BM,BM,AL,Corey,HB-3,NA,Full,"$18,529,847","$1,235,323",457,21%,97,"$3,933,031",360,"14,596,816",0,$0,
,,,7 Archive Win,12/15/21,Sterling Grove - Cotton & Peoria Site/Shops,Common Bond Development Group,,35%,02/01/22,8,"$16,416,632",10/01/22,Peoria,Arizona,Site,20 Acres of Onsite/Offsite for Safeway & Shops,Melinda,,CH,KC,SH,NR,Neg.,NA,Done,"$5,745,821","$718,228",243,0%,0,$0,243,"5,745,821",0,$0,
,,,7 Archive Win,07/08/24,Sunstate - Conroe Building/Site,Sunstate Equipment,,100%,08/05/24,7,"$4,409,609",03/05/25,Conroe,Texas,Industrial,Building,Adam,,AT,AT,MB,AnJel,Neg.,N/A,Full,"$4,409,609","$629,944",213,30%,63,"$1,304,251",150,"3,105,358",0,$0,
,,,7 Archive Win,03/20/24,Sunstate Equipment - Phoenix,Sunstate Equipment,,100%,04/29/24,2,"$311,718",06/29/24,Phoenix,Arizona,Site,"Demo Site buildings, TI work, Asphalt/Drainage Reparis",Adam,,JF,JF,TBD,,Neg.,Pending,,"$311,718","$155,859",62,0%,0,$0,62,"311,718",0,$0,
,,,7 Archive Win,10/31/23,Sunstate Equipment - Rosenberg,Sunstate Equipment,,100%,02/05/24,7,"$4,364,337",09/05/24,Rosenberg,Texas,Industrial,"Ground up PEMB, Service Yard for Equipment",Adam,,JF,KC,AL,Mike,Neg.,N/A,Full,"$4,364,337","$623,477",214,0%,0,$0,214,"4,364,337",0,$0,
,,,7 Archive Win,02/09/22,SWC Scottsdale Road & Frank Lloyd Wright Demo,John Barry,,100%,04/01/22,2,"$199,073",06/01/22,Scottsdale,Arizona,Demo,Demo Building and Site,Brian,,PS,N/A,N/A,MC,Neg.,,Duration,"$199,073","$99,537",62,0%,0,$0,62,"199,073",0,$0,
,,,7 Archive Win,12/12/23,TC Script Pharmacy - TI,Script Pharmacy,,100%,03/11/24,4,"$2,134,820",07/11/24,Scottsdale,Arizona,MOB TI,TI at Pima Center,Melinda,,JF,KC,AT,,HB,10/13/23,Duration,"$2,134,820","$533,705",123,0%,0,$0,123,"2,134,820",0,$0,
,,,7 Archive Win,06/01/22,The Governor Apartments,North Res Holdings,,100%,07/05/22,20,"$44,541,270",03/05/24,Phoenix,Arizona,Multifamily,172 Units on Concrete Podium,Paul,TBD,PS,KC,MB,NR/MR,Neg.,,Update,"$44,541,270","$2,227,064",610,0%,0,$0,610,"44,541,270",0,$0,
,,,7 Archive Win,04/08/24,The Henry - Uptown - FRC,FRC,,100%,05/13/24,10,"$5,352,796",03/13/25,Phoenix,Arizona,Restaurant,Demo - Ground Up - Henry w/TI,Melinda,,KC,KC,MB,Lucas,HB-3,Pending,Full,"$5,352,796","$535,280",305,23%,71,"$1,246,061",234,"4,106,735",0,$0,
,,,7 Archive Win,04/18/24,The Marshall - 85% GMP Pricing,Aptitude,,100%,01/29/24,29,"$67,595,203",06/29/26,Tempe,Arizona,Multifamily,Full Package,Hayley,,PS,PS,MB,,Neg.,N/A,Full,"$67,595,203","$2,330,869",883,0%,0,$0,883,"67,595,203",0,$0,
,,,7 Archive Win,08/20/21,The Trails Community Center,Community Southwest,,100%,11/01/21,6,"$1,920,883",05/01/22,Maricopa,Arizona,Clubhouse,Community Center,Brian,08/05/21,PS/AB,BM,SH,NR,Neg.,,Full,"$1,920,883","$320,147",182,0%,0,$0,182,"1,920,883",0,$0,
,,,7 Archive Win,,Towne Storage Phoenix 35th Ave & Southern,Towne Storage,,10%,07/01/22,12,"$10,000,000",07/01/23,Phoenix,Arizona,Storage,Furthest out,Melinda,,,,,,,,,"$1,000,000","$83,333",366,0%,0,$0,366,"1,000,000",0,$0,
,,,7 Archive Win,,"Trimod Aileron Property, LLC",Aileron by Moderne,,100%,10/01/22,17,"$47,151,022",03/01/24,,,,,,,,,,,,,,"$47,151,022","$2,773,590",518,0%,0,$0,518,"47,151,022",0,$0,
,,,7 Archive Win,11/08/24,Trinity ENT Office TI,AZ Breath Free,,50%,12/02/24,2,"$285,230",02/02/25,Gilbert,Arizona,Office TI,3K SF Office TI,Mike,,JF,AL,N/A,,Con.,,,"$142,615","$71,308",63,51%,32,"$72,439",31,"70,176",0,$0,
,,,7 Archive Win,09/26/24,Uptown Alley Renovation - T.I - Phase 1,Uptown Alley,,50%,10/01/24,2,"$822,256",12/01/24,Surprise,Arizona,Entertainment,"Interior Renovation, Arcade, Redemption",Adam,,AT,AT,AL,Greg,Neg.,N/A,Full,"$411,128","$205,564",62,0%,0,$0,62,"411,128",0,$0,
,,,7 Archive Win,01/24/25,Uptown Plaza,Levine Investments,,100%,03/24/25,1,"$267,450",04/24/25,Phoenix,Arizona,Site,Remove/Replace concrete behind AJ's,Adam,,JF,JF,MB,,Neg.,,,"$267,450","$267,450",32,100%,32,"$267,450",0,0,0,$0,
,,,7 Archive Win,10/24/24,Van Buren Industrial Building,Anthony Bibars,,100%,01/06/25,8,"$3,131,822",09/06/25,Phoenix,Arizona,Industrial,24K SF Manufacturing Building Full Buildout w/ Site,Adam,,JH,JH,AT,???,Neg.,N/A,Full,"$3,131,822","$391,478",244,100%,244,"$3,131,822",0,0,0,$0,
,,,7 Archive Win,02/18/25,Waddell Crossing - Update W/Dry Utilities,Arena Capital Holdings,,100%,04/07/25,10,"$11,320,179",02/07/26,Surprise,Arizona,Site,"Waddell, Cotton Street Improvements - Site roads, infrastructure",Hayley,,JH,JH,MB,,Con.,N/A,,"$11,320,179","$1,132,018",307,87%,268,"$9,882,111",39,"1,438,068",0,$0,
,,,7 Archive Win,05/02/25,Waddell Crossing Signage & APS,Arena Capital Holdings,,50%,09/01/25,5,"$874,749",02/01/26,Surprise,Arizona,Site,"Pad Development, Utilities, Bldg",Hayley,,JH,JH,MB,,HB,,,"$437,375","$87,475",154,79%,121,"$343,651",33,"93,723",0,$0,
,,,7 Archive Win,03/28/23,Waterston Central,Tri-Point Homes,,3%,06/05/23,8,"$5,182,873",02/05/24,Gilbert,Arizona,Clubhouse,Residential Clubhouse,Brian,,BM,-,LH,NR,HB-2,,Duration,"$155,486","$19,436",246,0%,0,$0,246,"155,486",0,$0,
