Job Outlook for JB,Est.,Pipeline,Estimating Status,Bid Due Date,Project Name,Owner,Architect,Pipeline Probability,Approx. Start Date,# of Months,Approx. Cost,Approx. Finish,Project City,Project State,Market Type,Notes/Description,BD/PM/AM,ITB Date,Lead Estimator,Estimator,Est. Asst.,PX/PM,Estimate Type,RFI Due Date,Schedule,Factored $,Factored $ per month,Duration,2025 % Complete,Days in 2025,$ in 2025,Days in 2026,$ in 2026,Days in 2027,$ in 2027,Notes for JB Outlook
,TRUE,TRUE,3 Bidding Three Weeks,11/19/25,Roam Waddell RV Storage,Vintage Partners,,2%,11/01/25,12,"$19,812,652",11/01/26,Waddell,Arizona,Storage,"221K SF Storage, 258 Cover RV Parking Spaces",Alyssa,,BVK,BVK,AL,,HB-3,,,"$396,253","$33,021",366,16%,60,"$64,960",306,"331,294",0,$0,
,TRUE,TRUE,9 Archive Pass,11/26/25,Hilton PHX Resort Fitness & Restaurant,Pivotal Group,,1%,12/01/25,12,"$10,000,000",12/01/26,Phoenix,Arizona,"Restaurant
Sports/Fitness","10K SF GU Fitness Center, 7.5K SF Restaurant",Melinda,,TS,TS,??,,HB-3,,,"$100,000","$8,333",366,8%,30,"$8,197",336,"91,803",0,$0,
,TRUE,TRUE,4.8 RFQ's,12/31/25,Travel Plaza - Rain Rock Casino,Karuk Tribe,,10%,05/04/26,12,"$18,000,000",05/04/27,Yreka,California,Fuel Station,10k SF C-Store - (10) Car (6) Diesel Fuel,Melinda,,BVK,BVK,??,,RFP,,,"$1,800,000","$150,000",366,0%,0,$0,243,"1,195,082",123,"$604,918",
,TRUE,TRUE,4.8 RFQ's,12/02/25,Apache Junction Public Works Expansion Phase 1,City of Apache Junction,,1%,11/01/26,12,"$28,000,000",11/01/27,Apache Junction,Arizona,Public,"28,000 SF Admin Building, 10,600 SF Maintenance Facility",James,,,,,,,,,"$280,000","$23,333",366,0%,0,$0,62,"47,432",304,"$232,568",
,TRUE,,5 Arriving,Pending,Carbon Fitness Gym,Scottsdale,,1%,04/01/26,5,"$4,000,000",09/01/26,Scottsdale,Arizona,Sports/Fitness,"35,000SF Gym",Mike,,,,,,,,,"$40,000","$8,000",154,0%,0,$0,154,"40,000",0,$0,
TRUE,TRUE,TRUE,5 Arriving,Pending,ALDI - Prescott Valley - GU,ALDI,,25%,02/01/26,7,"$5,500,000",09/01/26,Prescott,Arizona,Grocery,Ground-up ALDI,Melinda,,,,,,HB-3,,,"$1,375,000","$196,429",213,0%,0,$0,213,"1,375,000",0,$0,
TRUE,TRUE,TRUE,5 Arriving,Pending - Jan,Arbor Phase 2 Spec Suites,George Oliver,,4%,03/02/26,10,"$9,000,000",01/02/27,Tempe,Arizona,Office TI,(3) 15k SF Spec Suite office TI's,Mike,,,,,,,,,"$360,000","$36,000",307,0%,0,$0,306,"358,827",1,"$1,173",
TRUE,TRUE,TRUE,5 Arriving,Pending,Ashley Outlet - Tempe,Ashley Furniture,Cawley Architects,3%,08/01/26,10,"$9,250,000",06/01/27,Tempe,Arizona,Retail,44k SF addition to existing store in Tempe,Melinda,,CH,CH,N/A,,Con.,,,"$277,500","$27,750",305,0%,0,$0,154,"140,115",151,"$137,385",
,TRUE,,5 Arriving,Pending,Bagdad - Daycare Expansion,FMI,,1%,01/01/16,5,"$4,000,000",06/01/16,Bagdad,Arizona,Education,Daycare Expansion,Melinda,,,,,,,,,"$40,000","$8,000",153,0%,0,$0,153,"40,000",0,$0,
TRUE,TRUE,TRUE,5 Arriving,Pending,Cave Creek/Carefree Hwy (Site for MSF),Evergreen,,20%,03/01/26,8,"$9,419,976",11/01/26,Carefree,Arizona,"Retail
Site",13 Acres Sitework/Building Pads - MSF Anchor,Melinda,,CH/TS,TS,N/A,,HB-4,,,"$1,883,995","$235,499",246,0%,0,$0,246,"1,883,995",0,$0,
,TRUE,TRUE,5 Arriving,Pending,Culdesac - Mesa - Update,Culdesac,,1%,08/03/26,10,"$42,984,867",06/03/27,Mesa,Arizona,Multifamily,Offsite and Phase 1-3 Sitework Budgets,Adam/Melinda,,PS,PS,N/A,,Con.,,,"$429,849","$42,985",305,0%,0,$0,152,"214,220",153,"$215,629",
TRUE,TRUE,TRUE,5 Arriving,Pending,Discovery Center Storage,Wentworth,Robert Brown Architects,50%,05/01/26,12,"$15,223,072",05/01/27,Tempe,Arizona,Storage,"155k SF ""office' storage building - 3 stories",Brian,,AT,AT,N/A,,Con.,,,"$7,611,536","$634,295",366,0%,0,$0,246,"5,115,950",120,"$2,495,586",
,TRUE,TRUE,5 Arriving,Pending,Fat Cats - Laveen AZ,Fat Cats,,15%,04/01/26,10,"$15,000,000",02/01/27,Laveen,Arizona,Entertainment,Ground Up,Melinda,,,,,,HB-4,Pending,,"$2,250,000","$225,000",307,0%,0,$0,276,"2,022,801",31,"$227,199",
TRUE,TRUE,TRUE,5 Arriving,Pending,FatCats - Gilbert,Fat Cats,,25%,12/01/25,4,"$1,240,753",04/01/26,Gilbert,Arizona,Entertainment,Remodel,Melinda,,CH,CH,,,Con.,,,"$310,188","$77,547",122,25%,30,"$76,276",92,"233,912",0,$0,
,TRUE,TRUE,5 Arriving,Pending,Fort Mojave Indian Tribe - Fire Station,FMIT,,50%,01/01/26,10,"$7,500,000",11/01/26,Fort Mojave,Arizona,Native,"9,500SF Fire Station (2) Bays",Brian,,CH,CH,??,,Neg.,,,"$3,750,000","$375,000",305,0%,0,$0,305,"3,750,000",0,$0,
,TRUE,TRUE,12 On Hold,Pending,Karen Drive Hangar Project,David Megdal,,1%,10/01/26,8,"$18,746,350",06/01/27,Scottsdale,Arizona,Industrial,26k SF new Build - 53k Reno Hanger,Adam,,JH,JH,Lisa,,Con.,,,"$187,464","$23,433",244,0%,0,$0,93,"71,451",151,"$116,012",
TRUE,TRUE,TRUE,5 Arriving,Pending,Lifestyle Center - The Ranch,Indicap/Colmena,Humphreys & Partners Architects,25%,02/01/26,8,"$6,652,899",10/01/26,Gilbert,Arizona,Retail,(4) Retail buildings - Site NE,Melinda,,TS,TS,MB,,Con.,,,"$1,663,225","$207,903",243,0%,0,$0,243,"1,663,225",0,$0,
,TRUE,TRUE,5 Arriving,Pending,Litchfield Place,Boarder Capital - James Miller,,30%,01/01/26,8,"$8,482,891",09/01/26,Surprise,Arizona,Industrial,"60K SF Industrial Shell, Civil, Site Work, Shops B",Adam,,AT,AT,N/A,,Con.,,,"$2,544,867","$318,108",244,0%,0,$0,244,"2,544,867",0,$0,
,TRUE,TRUE,5 Arriving,Pending,Lower Buckeye & Avondale Rd (Fry's),Evergreen,,2%,09/01/26,8,"$9,000,000",05/01/27,Avondale,Arizona,Site,"Retail, Sitwork/Buildings - Fry's Anchor",Melinda,,,,,,HB-4,,,"$180,000","$22,500",243,0%,0,$0,123,"91,111",120,"$88,889",
,TRUE,TRUE,5 Arriving,Pending,MACK - Site A - BTS,Mack,,2%,06/01/26,10,"$21,028,869",04/01/27,Phoenix,Arizona,"Industrial
Site","15 acre outside storage, 75K SF building",Brian,,BR,BR,,,D/B,,,"$420,577","$42,058",305,0%,0,$0,215,"296,473",90,"$124,105",
,TRUE,TRUE,5 Arriving,Pending,Mesquite at the Ranch - Multifamily,Indicap,,1%,04/01/26,14,"$49,445,390",06/01/27,Gilbert,Arizona,Multifamily,"(2-3 Story Buildings) 9 acres - Amenities, carports, etc.",Melinda,,PS,PS,MB,,Con.,,,"$494,454","$35,318",427,0%,0,$0,276,"319,600",151,"$174,854",
TRUE,TRUE,TRUE,5 Arriving,Pending - Jan,Mountainside Fitness  #25  - Cave Creek (Smaller),Mountainside Fitness,Adaptive Architects,35%,03/02/26,9,"$9,000,000",12/02/26,Cave Creek,Arizona,Sports/Fitness,"Full site, bldg., TI",Adam,08/20/21,,,,NR,HB-3,,Done,"$3,150,000","$350,000",276,0%,0,$0,276,"3,150,000",0,$0,
